lat,lon
-42.6953666667,8.7428666667
-42.69535,8.7428666667
-42.69535,8.7428833333
-42.6953666667,8.7429
-42.6953166667,8.7426333333
-42.69475,8.7424166667
-42.6944,8.7471
-42.6911833333,8.7553333333
-42.6826666667,8.7623666667
-42.6823166667,8.7624666667
-42.6571666667,8.7267833333
-42.6546166667,8.7270833333
-42.64235,8.6864833333
-42.6452333333,8.6929833333
-42.6327833333,8.6514666667
-42.63345,8.6540666667
-42.6336833333,8.6561333333
-42.6337666667,8.6570333333
-42.6342333333,8.6595
-42.6344166667,8.6602666667
-42.6335666667,8.6587833333
-42.6344833333,8.6563333333
-42.6345,8.6569666667
-42.62835,8.6220666667
-42.6293166667,8.6244666667
-42.6306166667,8.6289166667
-42.63095,8.63005
-42.63175,8.6316666667
-42.63215,8.6327833333
-42.6341166667,8.63915
-42.6348333333,8.641
-42.6354666667,8.6426833333
-42.6290833333,8.5971
-42.6127333333,8.5714
-42.5928,8.5421
-42.5804333333,8.4948333333
-42.5517333333,8.4551666667
-42.5322833333,8.4193166667
-42.5182333333,8.3773666667
-42.502,8.3529166667
-42.4924166667,8.3366
-42.4719166667,8.3005666667
-42.46445,8.2761833333
-42.4474166667,8.2618166667
-42.4354833333,8.2422666667
-42.4134333333,8.21865
-42.4339333333,8.1774333333
-42.4362666667,8.1805666667
-42.4396,8.1856666667
-42.4255666667,8.1794166667
-42.4043666667,8.1569666667
-42.385,8.13715
-42.37175,8.1326166667
-42.3593166667,8.1096333333
-42.2656333333,8.0280833333
-42.2655166667,8.0347
-42.2615,8.0335
-42.2607333333,8.0367166667
-42.2609333333,8.0251333333
-42.2587166667,8.0278333333
-42.2923333333,8.0252
-42.3169166667,8.0259
-42.3329333333,8.02425
-42.3616666667,8.01745
-42.3847333333,8.0141
-42.4103,8.0039
-42.4117833333,7.9927166667
-42.3872,7.9942666667
-42.3580833333,8.0064333333
-42.3352833333,8.0076333333
-42.3104666667,8.0063333333
-42.2946833333,8.0079666667
-42.2773833333,8.01385
-42.26615,8.0065666667
-42.2464666667,8.00185
-42.2457833333,8.0020333333
-42.2448666667,8.0024666667
-42.2360666667,7.9843833333
-42.2121333333,7.9818833333
-42.201,7.9699
-42.1821166667,7.9760333333
-42.1683,7.9622833333
